Unit,Emp Code,Sex,Full Name,Date of Birth,Grade,Designations,Blood  Group,Department,ET,Category,Religion,Handicap,Positions,Shift Start,Shift End,Employee Type,Employee Category
MCP,10107,Female,"Burke, Joelle",20-Jul-83,C,Mining Researcher,AB-,Mines,Active,SC,Hindu,Yes,Senior,10:00 AM,6:00 PM,Executive,E10
MCP,10181,Male,"Burkett, Benjamin ",15-Jul-77,B,Mining Researcher,A+,Mines,Active,ST,Hindu,No,Junior,8:00 PM,4:00 AM,Non-Technical,C4
MCP,10150,Male,"Cady, Max ",18-Oct-81,A,Mining Researcher,B-,Mines,Active,SC,Hindu,No,Junior,8:00 PM,4:00 AM,Non-Technical,C3
MCP,10001,Male,"Candie, Calvin",04-Oct-66,B,Mining Researcher,O-,Mines,Active,ST,Hindu,Yes,Intermediate,8:00 AM,4:00 PM,Non-Technical,C1
MCP,10085,Female,"Carabbio, Judith",24-Nov-81,A,Mining Researcher,O+,Mines,Active,SC,Muslim,Yes,Trainee,8:00 PM,4:00 AM,Non-Technical,C6
MCP,10115,Male,"Carey, Michael  ",04-Apr-86,B,Drilling Engineer,AB-,Mines,Active,OBC,Hindu,No,Trainee,12:00 PM,8:00 PM,Non-Technical,C4
MCP,10082,Female,"Carr, Claudia  N",04-Jun-79,A,Drilling Engineer,A+,Mines,Active,OBC,Muslim,No,Trainee,12:00 PM,8:00 PM,Non-Technical,C2
MCP,10040,Female,"Carter, Michelle ",07-Oct-83,A,Drilling Engineer,AB+,Mines,Active,General,Christian,No,Senior,10:00 AM,6:00 PM,Executive,E1
MCP,10067,Female,"Chace, Beatrice ",05-May-75,A,Drilling Engineer,AB-,Operations,Active,SC,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E10
MCP,10108,Male,"Champaigne, Brian",19-Sep-88,B,Drilling Engineer,AB-,Mines,Active,SC,Christian,No,Junior,8:00 AM,4:00 PM,Non-Technical,C5
MCP,10210,Female,"Chan, Lin",27-Sep-88,C,Drilling Engineer,A-,Mines,Active,General,Muslim,Yes,Junior,8:00 AM,4:00 PM,Non-Technical,C3
MCP,10154,Male,"Chang, Donovan  E",09-Aug-89,B,Drilling Engineer,B+,Mines,Active,General,Hindu,Yes,Intermediate,12:00 AM,8:00 PM,Non-Technical,C1
MCP,10200,Male,"Chigurh, Anton",22-May-77,B,Drilling Engineer,O+,Mines,Active,ST,Hindu,Yes,Trainee,12:00 AM,8:00 PM,Non-Technical,C6
MCP,10240,Female,"Chivukula, Enola",24-May-79,"A
",Drilling Engineer,O-,Mines,Voluntarily Terminated,ST,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E8
MCP,10168,Female,"Cierpiszewski, Caroline  ",18-Feb-83,B,Drilling Engineer,AB+,Mines,Active,ST,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E10
MCP,10220,Male,"Clayton, Rick",02-Nov-70,A,Drilling Engineer,A+,Mines,Active,ST,Hindu,Yes,Junior,8:00 AM,4:00 PM,Technical,T2
MCP,10275,Female,"Cloninger, Jennifer",01-Jul-88,A,Drilling Engineer,AB-,Operations,Voluntarily Terminated,OBC,Muslim,Yes,Junior,12:00 AM,8:00 PM,Technical,T4
MCP,10269,Male,"Close, Phil",01-Dec-74,A,Drilling Engineer,A+,Mines,Voluntarily Terminated,OBC,Hindu,No,Intermediate,4:00 PM,12:00 AM,Technical,T5
MCP,10029,Male,"Clukey, Elijian",21-Feb-74,B,Drilling Engineer,A-,Mines,Active,General,Muslim,No,Trainee,4:00 PM,12:00 AM,Technical,T2
MCP,10261,Male,"Cockel, James",07-Apr-88,A,Drilling Engineer,AB+,Operations,Active,General,Christian,No,Senior,10:00 AM,6:00 PM,Executive,E2
MCP,10292,Male,"Cole, Spencer",20-Jul-83,B,Drilling Engineer,AB+,Mines,Terminated for Cause,SC,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E8
MCP,10282,Male,"Corleone, Michael",15-Jul-77,C,Drilling Engineer,AB-,Mines,Active,ST,Christian,No,Junior,12:00 AM,8:00 PM,Technical,T6
MCP,10019,Male,"Corleone, Vito",18-Oct-81,C,Drilling Engineer,AB-,Mines,Active,SC,Muslim,Yes,Junior,8:00 PM,4:00 AM,Technical,T7
MCP,10094,Female,"Cornett, Lisa ",04-Oct-66,C,Drilling Engineer,O-,Mines,Active,ST,Hindu,Yes,Intermediate,8:00 PM,4:00 AM,Technical,T4
MCP,10193,Male,"Costello, Frank",24-Nov-81,A,Drilling Engineer,B+,Operations,Active,SC,Hindu,Yes,Trainee,8:00 AM,4:00 PM,Technical,T3
MCP,10132,Female,"Crimmings,   Jean",04-Apr-86,A,Drilling Engineer,B-,Mines,Active,OBC,Hindu,No,Senior,12:00 AM,8:00 PM,Technical,T2
MCP,10083,Male,"Cross, Noah",04-Jun-79,B,Drilling Engineer,AB-,Mines,Active,OBC,Hindu,No,Senior,8:00 PM,4:00 AM,Technical,T6
MCP,10099,Female,"Daneault, Lynn",07-Oct-83,A,Drilling Engineer,A+,Mines,Active,General,Christian,Yes,Junior,8:00 AM,4:00 PM,Technical,T7
MCP,10212,Female,"Daniele, Ann  ",05-May-75,A,Drilling Engineer,O+,Mines,Active,SC,Muslim,Yes,Junior,8:00 AM,4:00 PM,Technical,T3
MCP,10056,Female,"Darson, Jene'ya ",19-Sep-88,B,Drilling Engineer,B+,Mines,Active,SC,Hindu,No,Intermediate,12:00 AM,8:00 PM,Technical,T8
MCP,10143,Male,"Davis, Daniel",27-Sep-88,C,Drilling Engineer,AB-,Mines,Active,General,Hindu,No,Trainee,12:00 AM,8:00 PM,Technical,T10
MCP,10311,Male,"Dee, Randy",09-Aug-89,B,Drilling Engineer,A+,Mines,Active,General,Hindu,No,Senior,8:00 PM,4:00 AM,Technical,T2
MCP,10070,Male,"DeGweck,  James",22-May-77,A,Drilling Engineer,B-,Operations,Voluntarily Terminated,ST,Hindu,No,Senior,8:00 PM,4:00 AM,Technical,T4
MCP,10155,Female,"Del Bosque, Keyla",24-May-79,B,Drilling Engineer,O-,Mines,Active,ST,Hindu,No,Junior,8:00 AM,4:00 PM,Technical,T5
MCP,10306,Male,"Delarge, Alex",18-Feb-83,A,Drilling Engineer,O+,Mines,Active,ST,Muslim,Yes,Junior,8:00 PM,4:00 AM,Technical,T7
MCP,10100,Female,"Demita, Carla",02-Nov-70,B,Drilling Engineer,AB-,Mines,Voluntarily Terminated,ST,Hindu,Yes,Intermediate,12:00 PM,8:00 PM,Technical,T9
MCP,10310,Male,"Desimone, Carl ",01-Jul-88,A,Drilling Engineer,A+,Mines,Active,OBC,Muslim,Yes,Trainee,12:00 PM,8:00 PM,Technical,T2
MCP,10197,Male,"DeVito, Tommy",01-Dec-74,A,Drilling Engineer,AB+,Operations,Active,OBC,Christian,No,Trainee,12:00 AM,8:00 PM,Technical,T10
MCP,10276,Male,"Dickinson, Geoff ",21-Feb-74,A,Drilling Engineer,AB-,Mines,Active,General,Hindu,No,Trainee,12:00 AM,8:00 PM,Technical,T5
MCP,10304,Female,"Dietrich, Jenna  ",07-Apr-88,B,Drilling Engineer,AB-,Mines,Active,General,Christian,Yes,Senior,8:00 AM,4:00 PM,Technical,T6
MCP,10284,Female,"DiNocco, Lily ",20-Jul-83,C,Drilling Engineer,A-,Mines,Active,SC,Muslim,Yes,Senior,8:00 AM,4:00 PM,Technical,T2
MCP,10207,Female,"Dobrin, Denisa  S",15-Jul-77,B,Drilling Engineer,B+,Mines,Active,ST,Hindu,No,Junior,12:00 AM,8:00 PM,Technical,T7
MCP,10133,Female,"Dolan, Linda",18-Oct-81,B,Drilling Engineer,O+,Mines,Active,SC,Hindu,No,Junior,12:00 AM,8:00 PM,Technical,T4
MCP,10028,Male,"Dougall, Eric",04-Oct-66,"A
",Drilling Engineer,O-,Mines,Active,ST,Hindu,No,Intermediate,10:00 AM,6:00 PM,Executive,E8
MCP,10006,Female,"Driver, Elle",24-Nov-81,B,Drilling Engineer,AB+,Mines,Active,SC,Hindu,No,Trainee,8:00 PM,4:00 AM,Non-Technical,C6
MCP,10105,Female,"Dunn, Amy  ",04-Apr-86,A,Drilling Engineer,A+,Mines,Active,OBC,Hindu,No,Senior,8:00 AM,4:00 PM,Non-Technical,C3
MCP,10211,Female,"Dunne, Amy",04-Jun-79,A,Drilling Engineer,AB-,Mines,Active,OBC,Muslim,Yes,Senior,12:00 AM,8:00 PM,Non-Technical,C1
MCP,10064,Female,"Eaton, Marianne",09-May-91,A,Drilling Engineer,A+,Mines,Voluntarily Terminated,SC,Hindu,Yes,Junior,4:00 PM,12:00 AM,Non-Technical,C4
MCP,10247,Male,"Engdahl, Jean",07-Oct-83,B,DB Admin,A-,HR,Active,SC,Muslim,Yes,Junior,4:00 PM,12:00 AM,Non-Technical,C6
MCP,10235,Male,"England, Rex",05-May-75,A,IT Analyst,AB+,IT,Active,General,Christian,No,Intermediate,8:00 AM,4:00 PM,Non-Technical,C5
MCP,10299,Female,"Erilus, Angela",19-Sep-88,B,IT Analyst,AB+,IT,Active,General,Hindu,No,Trainee,12:00 AM,8:00 PM,Non-Technical,C6
MCP,10280,Male,"Estremera, Miguel",27-Sep-88,C,IT Analyst,AB-,IT,Terminated for Cause,ST,Christian,Yes,Senior,12:00 AM,8:00 PM,Non-Technical,C2
MCP,10296,Female,"Evensen, April",09-Aug-89,C,IT Analyst,AB-,IT,Terminated for Cause,ST,Muslim,Yes,Senior,8:00 PM,4:00 AM,Non-Technical,C3
MCP,10290,Female,"Exantus, Susan",22-May-77,C,DB Admin,O-,HR,Terminated for Cause,ST,Hindu,No,Junior,8:00 PM,4:00 AM,Non-Technical,C4
MCP,10263,Female,"Faller, Megan ",24-May-79,A,IT Analyst,B+,IT,Active,ST,Hindu,No,Junior,8:00 AM,4:00 PM,Non-Technical,C6
MCP,10136,Female,"Fancett, Nicole",18-Feb-83,A,IT Analyst,B-,IT,Active,OBC,Hindu,No,Intermediate,12:00 AM,8:00 PM,Non-Technical,C3
MCP,10189,Female,"Ferguson, Susan",02-Nov-70,B,DB Admin,AB-,Sales,Voluntarily Terminated,OBC,Hindu,No,Trainee,8:00 PM,4:00 AM,Non-Technical,C2
MCP,10308,Male,"Fernandes, Nilson  ",01-Jul-88,A,DB Admin,A+,Sales,Active,General,Hindu,No,Senior,12:00 AM,8:00 PM,Non-Technical,C5
MCP,10309,Male,"Fett, Boba",01-Dec-74,A,Mining Engineer,O+,Mines,Active,General,Muslim,Yes,Senior,4:00 PM,12:00 AM,Non-Technical,C1
MCP,10049,Female,"Fidelia,  Libby",21-Feb-74,B,Mining Engineer,B+,Mines,Active,SC,Hindu,Yes,Junior,4:00 PM,12:00 AM,Non-Technical,C3
MCP,10093,Male,"Fitzpatrick, Michael  J",07-Apr-88,C,Mining Engineer,AB-,Mines,Voluntarily Terminated,ST,Muslim,Yes,Junior,8:00 AM,4:00 PM,Non-Technical,C4
MCP,10163,Female,"Foreman, Tanya",20-Jul-83,B,Mining Engineer,A+,Mines,Voluntarily Terminated,SC,Christian,No,Intermediate,12:00 AM,8:00 PM,Non-Technical,C6
MCP,10305,Male,"Forrest, Alex",15-Jul-77,A,Mining Engineer,B-,Operations,Terminated for Cause,ST,Hindu,No,Trainee,12:00 AM,8:00 PM,Non-Technical,C2
MCP,10015,Male,"Foss, Jason",18-Oct-81,B,Mining Engineer,O-,Mines,Active,SC,Christian,Yes,Senior,8:00 PM,4:00 AM,Non-Technical,C2
MCP,10080,Female,"Foster-Baker, Amy",04-Oct-66,A,Mining Engineer,O+,Mines,Active,OBC,Muslim,Yes,Senior,8:00 PM,4:00 AM,Non-Technical,C5
MCP,10258,Male,"Fraval, Maruk ",24-Nov-81,B,Mining Researcher,AB-,Mines,Active,OBC,Hindu,No,Junior,8:00 AM,4:00 PM,Non-Technical,C6
KCC,10273,Female,"Galia, Lisa",04-Apr-86,A,Mining Researcher,A+,Mines,Active,General,Hindu,No,Junior,12:00 AM,8:00 PM,Non-Technical,C5
KCC,10111,Male,"Garcia, Raul",04-Jun-79,A,Mining Researcher,AB+,Mines,Active,SC,Hindu,No,Intermediate,8:00 PM,4:00 AM,Non-Technical,C2
KCC,10257,Female,"Gaul, Barbara",07-Oct-83,A,Mining Researcher,AB-,Mines,Active,SC,Hindu,No,Trainee,8:00 AM,4:00 PM,Non-Technical,C1
KCC,10159,Female,"Gentry, Mildred",05-May-75,B,Mining Researcher,AB-,Operations,Active,General,Hindu,No,Trainee,8:00 AM,4:00 PM,Non-Technical,C3
KCC,10122,Female,"Gerke, Melisa",19-Sep-88,C,Mining Researcher,A-,Mines,Voluntarily Terminated,General,Muslim,Yes,Trainee,12:00 AM,8:00 PM,Non-Technical,C2
KCC,10142,Female,"Gill, Whitney  ",27-Sep-88,B,Mining Researcher,B+,Mines,Terminated for Cause,ST,Hindu,Yes,Senior,12:00 AM,8:00 PM,Non-Technical,C6
KCC,10283,Male,"Gilles, Alex",09-Aug-89,B,Mining Researcher,O+,Mines,Voluntarily Terminated,ST,Muslim,Yes,Senior,8:00 PM,4:00 AM,Non-Technical,C3
KCC,10018,Female,"Girifalco, Evelyn",22-May-77,"A
",Mining Researcher,O-,Mines,Active,ST,Christian,No,Junior,10:00 AM,6:00 PM,Executive,E2
KCC,10255,Female,"Givens, Myriam",24-May-79,B,Mining Researcher,AB+,Operations,Active,ST,Hindu,No,Junior,8:00 AM,4:00 PM,Technical,T2
KCC,10246,Female,"Goble, Taisha",18-Feb-83,A,Mining Researcher,A+,Mines,Terminated for Cause,OBC,Christian,Yes,Intermediate,8:00 PM,4:00 AM,Technical,T4
KCC,10228,Male,"Goeth, Amon",02-Nov-70,A,Mining Researcher,AB-,Operations,Active,OBC,Muslim,Yes,Trainee,12:00 PM,8:00 PM,Technical,T7
KCC,10243,Female,"Gold, Shenice  ",01-Jul-88,A,Mining Researcher,A+,Mines,Active,General,Hindu,No,Senior,12:00 PM,8:00 PM,Technical,T6
KCC,10031,Male,"Gonzalez, Cayo",01-Dec-74,B,Mining Researcher,A-,Mines,Active,General,Hindu,No,Senior,12:00 AM,8:00 PM,Technical,T2
KCC,10300,Male,"Gonzalez, Juan",21-Feb-74,A,Mining Researcher,AB+,Mines,Voluntarily Terminated,SC,Hindu,No,Junior,12:00 AM,8:00 PM,Technical,T8
KCC,10101,Female,"Gonzalez, Maria",07-Apr-88,B,Mining Researcher,AB+,Operations,Active,ST,Hindu,No,Junior,8:00 AM,4:00 PM,Technical,T5
KCC,10237,Female,"Good, Susan",20-Jul-83,C,Mining Researcher,AB-,Mines,Active,SC,Christian,No,Intermediate,8:00 AM,4:00 PM,Technical,T8
KCC,10051,Male,"Gordon, David",15-Jul-77,C,Mining Researcher,AB-,Mines,Active,ST,Muslim,Yes,Trainee,12:00 AM,8:00 PM,Technical,T7
KCC,10218,Female,"Gosciminski, Phylicia  ",18-Oct-81,C,Mining Researcher,O-,Mines,Active,SC,Hindu,Yes,Senior,12:00 AM,8:00 PM,Technical,T2
HO,10256,Female,"Goyal, Roxana",04-Oct-66,A,Mining Researcher,B+,Mines,Active,OBC,Hindu,Yes,Senior,8:00 PM,4:00 AM,Technical,T4
HO,10098,Male,"Gray, Elijiah  ",24-Nov-81,A,Mining Researcher,B-,Mines,Active,OBC,Hindu,No,Junior,8:00 PM,4:00 AM,Technical,T6
HO,10059,Female,"Gross, Paula",04-Apr-86,B,Mining Researcher,AB-,Mines,Voluntarily Terminated,General,Hindu,No,Junior,8:00 AM,4:00 PM,Technical,T8
HO,10234,Male,"Gruber, Hans",04-Jun-79,A,Mining Researcher,A+,Mines,Active,SC,Hindu,Yes,Intermediate,12:00 AM,8:00 PM,Technical,T2
HO,10109,Male,"Guilianno, Mike",07-Oct-83,A,Mining Researcher,O+,Mines,Voluntarily Terminated,SC,Muslim,Yes,Trainee,4:00 PM,12:00 AM,Technical,T9
HO,10125,Female,"Handschiegl, Joanne",05-May-75,B,Mining Researcher,B+,Operations,Active,General,Hindu,No,Senior,4:00 PM,12:00 AM,Technical,T6
HO,10074,Male,"Hankard, Earnest",19-Sep-88,C,Mining Researcher,AB-,Mines,Active,General,Muslim,No,Senior,8:00 AM,4:00 PM,Technical,T9
HO,10097,Female,"Harrington, Christie ",27-Sep-88,B,Mining Researcher,A+,Mines,Voluntarily Terminated,ST,Christian,No,Junior,12:00 AM,8:00 PM,Technical,T10
HO,10007,Female,"Harrison, Kara",09-Aug-89,A,Mining Researcher,B-,Mines,Active,ST,Hindu,No,Junior,12:00 AM,8:00 PM,Technical,T4
HO,10129,Male,"Heitzman, Anthony",22-May-77,B,Mining Researcher,O-,Mines,Active,ST,Christian,No,Intermediate,8:00 PM,4:00 AM,Technical,T7
HO,10075,Female,"Hendrickson, Trina",24-May-79,A,Mining Researcher,O+,Mines,Voluntarily Terminated,ST,Muslim,Yes,Trainee,8:00 PM,4:00 AM,Technical,T6
HO,10167,Male,"Hitchcock, Alfred",18-Feb-83,B,Mining Researcher,AB-,Mines,Active,OBC,Hindu,Yes,Senior,8:00 AM,4:00 PM,Technical,T2
HO,10195,Female,"Homberger, Adrienne  J",02-Nov-70,A,Drilling Engineer,A+,Operations,Voluntarily Terminated,OBC,Hindu,Yes,Senior,12:00 AM,8:00 PM,Technical,T7
HO,10112,Female,"Horton, Jayne",01-Jul-88,A,Drilling Engineer,AB+,Mines,Active,General,Hindu,No,Junior,8:00 PM,4:00 AM,Technical,T5
HO,10272,Female,"Houlihan, Debra",01-Dec-74,A,Drilling Engineer,AB-,Mines,Active,General,Hindu,No,Junior,12:00 AM,8:00 PM,Technical,T9
KCC,10182,Female,"Howard, Estelle",21-Feb-74,B,Drilling Engineer,AB-,Mines,Terminated for Cause,SC,Hindu,Yes,Intermediate,4:00 PM,12:00 AM,Technical,T4
KCC,10248,Female,"Hudson, Jane",07-Apr-88,C,Drilling Engineer,A-,Mines,Active,ST,Muslim,Yes,Trainee,4:00 PM,12:00 AM,Technical,T8
KCC,10201,Female,"Hunts, Julissa",20-Jul-83,B,Drilling Engineer,B+,Operations,Active,SC,Hindu,No,Trainee,8:00 AM,4:00 PM,Technical,T2
KCC,10214,Female,"Hutter, Rosalie",15-Jul-77,B,Drilling Engineer,O+,Mines,Active,ST,Muslim,No,Trainee,12:00 AM,8:00 PM,Technical,T10
KCC,10160,Female,"Huynh, Ming",18-Oct-81,"A
",Drilling Engineer,O-,Mines,Voluntarily Terminated,SC,Christian,No,Senior,10:00 AM,6:00 PM,Executive,E11
KCC,10289,Male,"Immediato, Walter",04-Oct-66,B,Drilling Engineer,AB+,Mines,Voluntarily Terminated,OBC,Hindu,No,Senior,8:00 PM,4:00 AM,Non-Technical,C1
KCC,10139,Female,"Ivey, Rose ",24-Nov-81,A,Drilling Engineer,A+,Mines,Active,OBC,Christian,No,Junior,8:00 PM,4:00 AM,Non-Technical,C6
KCC,10227,Female,"Jackson, Maryellen",04-Apr-86,A,Drilling Engineer,AB-,Mines,Active,SC,Muslim,Yes,Junior,8:00 AM,4:00 PM,Non-Technical,C4
KCC,10236,Female,"Jacobi, Hannah  ",04-Jun-79,A,Drilling Engineer,A+,Mines,Active,SC,Hindu,Yes,Intermediate,12:00 AM,8:00 PM,Non-Technical,C6
KCC,10009,Female,"Jeannite, Tayana",07-Oct-83,B,Drilling Engineer,A-,Mines,Active,General,Hindu,Yes,Trainee,8:00 PM,4:00 AM,Non-Technical,C3
KCC,10060,Female,"Jhaveri, Sneha  ",05-May-75,A,Drilling Engineer,AB+,Mines,Active,General,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E1
KCC,10034,Male,"Johnson, George",19-Sep-88,B,Drilling Engineer,AB+,Mines,Voluntarily Terminated,ST,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E7
KCC,10156,Female,"Johnson, Noelle ",27-Sep-88,C,Drilling Engineer,AB-,Mines,Active,ST,Hindu,Yes,Junior,12:00 AM,8:00 PM,Non-Technical,C1
KCC,10036,Female,"Johnston, Yen",09-Aug-89,C,Drilling Engineer,AB-,Operations,Active,ST,Muslim,Yes,Junior,12:00 AM,8:00 PM,Non-Technical,C6
KCC,10138,Female,"Jung, Judy  ",22-May-77,C,Drilling Engineer,O-,Mines,Voluntarily Terminated,ST,Hindu,No,Intermediate,8:00 PM,4:00 AM,Non-Technical,C2
KCC,10244,Female,"Kampew, Donysha",24-May-79,A,Drilling Engineer,B+,Mines,Voluntarily Terminated,OBC,Muslim,No,Trainee,8:00 PM,4:00 AM,Non-Technical,C2
KCC,10192,Male,"Keatts, Kramer ",18-Feb-83,A,Drilling Engineer,B-,Mines,Active,OBC,Christian,No,Senior,10:00 AM,6:00 PM,Executive,E4
KCC,10231,Male,"Khemmich, Bartholemew",02-Nov-70,B,Drilling Engineer,AB-,Mines,Active,General,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E1
KCC,10089,Female,"King, Janet",01-Jul-88,A,Drilling Engineer,A+,Mines,Active,General,Christian,No,Junior,12:00 PM,8:00 PM,Non-Technical,C1
KCC,10166,Female,"Kinsella, Kathleen  ",01-Dec-74,A,Drilling Engineer,O+,Operations,Voluntarily Terminated,SC,Muslim,Yes,Junior,12:00 PM,8:00 PM,Non-Technical,C4
KCC,10170,Female,"Kirill, Alexandra  ",21-Feb-74,B,Drilling Engineer,B+,Mines,Voluntarily Terminated,ST,Hindu,Yes,Intermediate,12:00 AM,8:00 PM,Non-Technical,C2
KCC,10208,Male,"Knapp, Bradley  J",07-Apr-88,C,Drilling Engineer,AB-,Operations,Active,SC,Hindu,Yes,Trainee,12:00 AM,8:00 PM,Non-Technical,C6
KCC,10176,Male,"Kretschmer, John",20-Jul-83,B,Drilling Engineer,A+,Operations,Active,ST,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E8
